Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2022-03-01,00:00,18.85,27.91,365.00,,,,,,33.00,44.00,-76.00,158.00,-116.00,332.00,-121.00,306.00,-100.00,166.00
2022-03-01,00:15,19.02,28.72,635.00,,,,,,17.00,46.00,-263.00,469.00,-301.00,452.00,-326.00,537.00,-290.00,616.00
2022-03-01,00:30,20.66,30.89,457.00,,,,,,41.00,45.00,-267.00,421.00,-423.00,494.00,-228.00,271.00,-142.00,166.00
2022-03-01,00:45,20.87,28.25,383.00,,,,,,42.00,45.00,-42.00,42.00,-58.00,49.00,-60.00,54.00,-53.00,58.00
2022-03-01,01:00,20.86,29.39,307.00,,,,,,35.00,45.00,-82.00,94.00,-123.00,201.00,-138.00,111.00,-90.00,83.00
2022-03-01,01:15,21.20,27.88,304.00,,,,,,35.00,44.00,-98.00,155.00,-148.00,299.00,-167.00,225.00,-107.00,157.00
2022-03-01,01:30,20.71,28.26,433.00,,,,,,17.00,45.00,-267.00,495.00,-236.00,492.00,-338.00,471.00,-339.00,472.00
2022-03-01,01:45,21.20,27.57,334.00,,,,,,43.00,46.00,-51.00,37.00,-46.00,42.00,-46.00,46.00,-43.00,44.00
2022-03-01,02:00,20.73,28.31,437.00,,,,,,30.00,44.00,-105.00,277.00,-150.00,431.00,-161.00,374.00,-109.00,332.00
2022-03-01,02:15,21.13,27.71,22.00,,,,,,43.00,45.00,-54.00,39.00,-44.00,41.00,-47.00,41.00,-46.00,43.00
2022-03-01,02:30,20.70,27.88,22.00,,,,,,43.00,44.00,-40.00,46.00,-44.00,42.00,-43.00,47.00,-40.00,41.00
2022-03-01,02:45,21.13,27.23,21.00,,,,,,43.00,44.00,-51.00,43.00,-45.00,41.00,-49.00,43.00,-46.00,45.00
2022-03-01,03:00,20.66,27.57,25.00,,,,,,43.00,45.00,-47.00,39.00,-42.00,45.00,-43.00,42.00,-47.00,50.00
2022-03-01,03:15,21.12,27.00,21.00,,,,,,43.00,44.00,-48.00,36.00,-42.00,47.00,-47.00,48.00,-44.00,43.00
2022-03-01,03:30,20.67,27.43,255.00,,,,,,43.00,44.00,-38.00,38.00,-44.00,42.00,-50.00,46.00,-52.00,45.00
2022-03-01,03:45,21.09,27.10,22.00,,,,,,43.00,46.00,-44.00,40.00,-42.00,39.00,-45.00,42.00,-43.00,39.00
2022-03-01,04:00,20.76,27.53,372.00,,,,,,35.00,46.00,-68.00,78.00,-74.00,126.00,-86.00,115.00,-87.00,120.00
2022-03-01,04:15,20.32,27.98,738.00,,,,,,34.00,44.00,-64.00,139.00,-103.00,262.00,-132.00,191.00,-157.00,213.00
2022-03-01,04:30,20.11,28.13,553.00,,,,,,30.00,46.00,-94.00,124.00,-112.00,244.00,-113.00,249.00,-107.00,164.00
2022-03-01,04:45,19.97,28.58,456.00,,,,,,2.00,46.00,-107.00,332.00,-150.00,505.00,-173.00,439.00,-200.00,318.00
2022-03-01,05:00,19.83,29.91,459.00,,,,,,2.00,4.00,-158.00,243.00,-196.00,388.00,-201.00,200.00,-156.00,164.00
2022-03-01,05:15,19.79,29.05,293.00,,,,,,2.00,3.00,-44.00,47.00,-44.00,42.00,-48.00,41.00,-47.00,44.00
2022-03-01,05:30,19.41,28.20,22.00,,,,,,2.00,4.00,-45.00,47.00,-44.00,44.00,-48.00,44.00,-45.00,41.00
2022-03-01,05:45,18.99,28.27,20.00,,,,,,2.00,4.00,-39.00,43.00,-41.00,39.00,-47.00,47.00,-40.00,35.00
2022-03-01,06:00,,,,,,,,,,,,,,,,,,
2022-03-01,06:15,18.64,28.52,306.00,,,,,,2.00,5.00,-46.00,40.00,-47.00,44.00,-50.00,52.00,-61.00,76.00
2022-03-01,06:30,18.37,28.80,21.00,,,,,,2.00,5.00,-42.00,37.00,-40.00,37.00,-41.00,40.00,-39.00,39.00
2022-03-01,06:45,18.25,28.95,26.00,,,,,,2.00,3.00,-41.00,42.00,-47.00,45.00,-49.00,43.00,-41.00,46.00
2022-03-01,07:00,,,,,,,,,,,,,,,,,,
2022-03-01,07:15,17.96,29.25,24.00,,,,,,2.00,4.00,-44.00,39.00,-54.00,42.00,-44.00,41.00,-42.00,41.00
2022-03-01,07:30,,,,,,,,,,,,,,,,,,
2022-03-01,07:45,17.65,29.55,25.00,,,,,,2.00,4.00,-44.00,38.00,-46.00,51.00,-46.00,41.00,-45.00,40.00
2022-03-01,08:00,,,,,,,,,,,,,,,,,,
2022-03-01,08:15,17.38,29.79,24.00,,,,,,2.00,4.00,-44.00,42.00,-42.00,40.00,-43.00,38.00,-45.00,41.00
2022-03-01,08:30,,,,,,,,,,,,,,,,,,
2022-03-01,08:45,17.11,29.96,24.00,,,,,,2.00,5.00,-47.00,44.00,-45.00,49.00,-46.00,46.00,-41.00,43.00
2022-03-01,09:00,,,,,,,,,,,,,,,,,,
2022-03-01,09:15,16.83,30.23,22.00,,,,,,2.00,4.00,-37.00,41.00,-46.00,41.00,-43.00,43.00,-40.00,45.00
2022-03-01,09:30,,,,,,,,,,,,,,,,,,
2022-03-01,09:45,16.59,30.41,25.00,,,,,,2.00,4.00,-43.00,37.00,-41.00,38.00,-43.00,45.00,-43.00,40.00
2022-03-01,10:00,,,,,,,,,,,,,,,,,,
2022-03-01,10:15,16.38,30.59,25.00,,,,,,2.00,4.00,-43.00,43.00,-49.00,45.00,-43.00,39.00,-48.00,41.00
2022-03-01,10:30,16.22,31.08,23.00,,,,,,2.00,5.00,-47.00,40.00,-39.00,40.00,-39.00,38.00,-40.00,39.00
2022-03-01,10:45,16.96,30.70,30.00,,,,,,2.00,4.00,-38.00,42.00,-43.00,44.00,-41.00,38.00,-44.00,39.00
2022-03-01,11:00,16.62,30.66,25.00,,,,,,2.00,4.00,-41.00,38.00,-42.00,41.00,-43.00,43.00,-41.00,44.00
2022-03-01,11:15,16.41,30.95,22.00,,,,,,2.00,2.00,-41.00,37.00,-43.00,36.00,-42.00,41.00,-38.00,38.00
2022-03-01,11:30,16.26,31.00,23.00,,,,,,2.00,2.00,-51.00,41.00,-49.00,41.00,-45.00,38.00,-44.00,40.00
2022-03-01,11:45,16.27,31.42,20.00,,,,,,2.00,2.00,-40.00,34.00,-42.00,36.00,-46.00,41.00,-43.00,36.00
